epoch,loss_sup,loss_cons,loss_total,val_loss,val_iou,val_precision,val_recall,val_f1
67,"tf.Tensor(0.7443018, shape=(), dtype=float32)","tf.Tensor(0.010830466, shape=(), dtype=float32)","tf.Tensor(0.75513226, shape=(), dtype=float32)",0.39761820435523987,0.46973171830177307,0.6536287665367126,0.734760582447052,0.6222636699676514
68,"tf.Tensor(0.7506856, shape=(), dtype=float32)","tf.Tensor(0.008137232, shape=(), dtype=float32)","tf.Tensor(0.7588228, shape=(), dtype=float32)",0.41432681679725647,0.4542474150657654,0.7220408916473389,0.6524737477302551,0.6014279127120972
69,"tf.Tensor(0.7516931, shape=(), dtype=float32)","tf.Tensor(0.009349735, shape=(), dtype=float32)","tf.Tensor(0.7610429, shape=(), dtype=float32)",0.4021434783935547,0.4678187072277069,0.6954242587089539,0.671680748462677,0.6181478500366211
70,"tf.Tensor(0.75087005, shape=(), dtype=float32)","tf.Tensor(0.006090274, shape=(), dtype=float32)","tf.Tensor(0.75696033, shape=(), dtype=float32)",0.43487024307250977,0.43644431233406067,0.7531346082687378,0.6116928458213806,0.5786508321762085
71,"tf.Tensor(0.7512911, shape=(), dtype=float32)","tf.Tensor(0.009334583, shape=(), dtype=float32)","tf.Tensor(0.76062566, shape=(), dtype=float32)",0.39457061886787415,0.4766215980052948,0.723434567451477,0.6847529411315918,0.623095691204071
72,"tf.Tensor(0.75078654, shape=(), dtype=float32)","tf.Tensor(0.00729593, shape=(), dtype=float32)","tf.Tensor(0.75808245, shape=(), dtype=float32)",0.45830488204956055,0.4114377200603485,0.766875147819519,0.5645865201950073,0.5487147569656372
73,"tf.Tensor(0.7528247, shape=(), dtype=float32)","tf.Tensor(0.0072179157, shape=(), dtype=float32)","tf.Tensor(0.76004267, shape=(), dtype=float32)",0.45942655205726624,0.4126639664173126,0.759443998336792,0.5673458576202393,0.5503996014595032
74,"tf.Tensor(0.6948748, shape=(), dtype=float32)","tf.Tensor(0.0088783745, shape=(), dtype=float32)","tf.Tensor(0.7037532, shape=(), dtype=float32)",0.42216283082962036,0.4470116198062897,0.7181928753852844,0.6451976299285889,0.5926950573921204
75,"tf.Tensor(0.75118256, shape=(), dtype=float32)","tf.Tensor(0.009447925, shape=(), dtype=float32)","tf.Tensor(0.7606305, shape=(), dtype=float32)",0.42659294605255127,0.44472721219062805,0.7492378950119019,0.6295350790023804,0.5866878628730774
76,"tf.Tensor(0.71235764, shape=(), dtype=float32)","tf.Tensor(0.008270893, shape=(), dtype=float32)","tf.Tensor(0.72062856, shape=(), dtype=float32)",0.45872604846954346,0.4133021831512451,0.7660629749298096,0.5888554453849792,0.5479184985160828
77,"tf.Tensor(0.7714422, shape=(), dtype=float32)","tf.Tensor(0.008956886, shape=(), dtype=float32)","tf.Tensor(0.7803991, shape=(), dtype=float32)",0.455219566822052,0.4167817533016205,0.7473553419113159,0.5965501070022583,0.5535223484039307
78,"tf.Tensor(0.75171673, shape=(), dtype=float32)","tf.Tensor(0.008489832, shape=(), dtype=float32)","tf.Tensor(0.7602066, shape=(), dtype=float32)",0.43647050857543945,0.43418753147125244,0.7611164450645447,0.5919174551963806,0.5775344371795654
79,"tf.Tensor(0.75088453, shape=(), dtype=float32)","tf.Tensor(0.008948092, shape=(), dtype=float32)","tf.Tensor(0.7598326, shape=(), dtype=float32)",0.46984338760375977,0.4023650288581848,0.7477055191993713,0.5571538209915161,0.5416333079338074
